# Coset-2 exclusion certificates for [4,16] on M_1(8,4)
# (Claude prod session 2026-07-18, target #3; notes/claude_prod_03_416.md)
#
# Background: any exponent-16 point on the (R,w) chart requires (2-descent,
# machine-checked identities; see notes) EITHER
#   coset 1:  -2R(R^2-1)(w^2-1) in Q^2   (the "conic" stratum, rationally
#             parameterized w=(m^2+K)/(m^2-K), K=-2R(R^2-1)), OR
#   coset 2:  2R(R^2-1)(w^2-1)w in +-Q^2, i.e. (w,Y) rational non-boundary on
#             E2_R: Y^2 = c w(w^2-1), c = 2ab(a^2-b^2), R=a/b
#             (Weierstrass X^3 - c^2 X; +- folded by w -> -w).
#   (Coset structure verified: 4*P_R = s_A on the family (Magma, 3 fibers),
#    so the quarter-twist coset is the H_x-half, as used.)
# For each fiber below, ellrank on E2_R gives UNCONDITIONAL rank upper bound 0
# (r2 = Selmer-torsion-Cassels) and torsion (Z/2)^2 whose w-images {0,+-1} are
# all boundary: the coset-2 stratum is EMPTY on the fiber.  Any [4,16] over
# these R (and mirrors 1/R) must satisfy the coset-1 conic; the complete
# conic-stratum octic sweep (m-height 2000, effective w-height ~1e6*|K|)
# found no live candidate on any fiber of height <= 100.
# format: a b  c=core-parameter rk=[lower,upper] tor=#torsion
15 73  c=-698610 rk=[0,0] tor=4
16 73  c=-740658 rk=[0,0] tor=4
24 73  c=-21243 rk=[0,0] tor=4
30 73  c=-4849755 rk=[0,0] tor=4
32 73  c=-314265 rk=[0,0] tor=4
33 73  c=-1276770 rk=[0,0] tor=4
36 73  c=-588818 rk=[0,0] tor=4
37 73  c=-148555 rk=[0,0] tor=4
39 73  c=-338793 rk=[0,0] tor=4
42 73  c=-5465145 rk=[0,0] tor=4
43 73  c=-1365465 rk=[0,0] tor=4
52 73  c=-199290 rk=[0,0] tor=4
57 73  c=-270465 rk=[0,0] tor=4
58 73  c=-4159905 rk=[0,0] tor=4
62 73  c=-373395 rk=[0,0] tor=4
65 73  c=-654810 rk=[0,0] tor=4
67 73  c=-513555 rk=[0,0] tor=4
68 73  c=-1749810 rk=[0,0] tor=4
72 73  c=-10585 rk=[0,0] tor=4
-69 74  c=1825395 rk=[0,0] tor=4
-61 74  c=440115 rk=[0,0] tor=4
-45 74  c=638435 rk=[0,0] tor=4
-31 74  c=5178705 rk=[0,0] tor=4
-29 74  c=552595 rk=[0,0] tor=4
-21 74  c=3912195 rk=[0,0] tor=4
-15 74  c=2914305 rk=[0,0] tor=4
-13 74  c=2552667 rk=[0,0] tor=4
-7 74  c=17353 rk=[0,0] tor=4
-5 74  c=1008435 rk=[0,0] tor=4
5 74  c=-1008435 rk=[0,0] tor=4
7 74  c=-17353 rk=[0,0] tor=4
13 74  c=-2552667 rk=[0,0] tor=4
15 74  c=-2914305 rk=[0,0] tor=4
21 74  c=-3912195 rk=[0,0] tor=4
29 74  c=-552595 rk=[0,0] tor=4
31 74  c=-5178705 rk=[0,0] tor=4
45 74  c=-638435 rk=[0,0] tor=4
61 74  c=-440115 rk=[0,0] tor=4
69 74  c=-1825395 rk=[0,0] tor=4
-62 75  c=165633 rk=[0,0] tor=4
-59 75  c=11859 rk=[0,0] tor=4
-58 75  c=196707 rk=[0,0] tor=4
-53 75  c=3498 rk=[0,0] tor=4
-49 75  c=1209 rk=[0,0] tor=4
-46 75  c=2001 rk=[0,0] tor=4
-44 75  c=243474 rk=[0,0] tor=4
-32 75  c=13803 rk=[0,0] tor=4
-31 75  c=54219 rk=[0,0] tor=4
-23 75  c=897 rk=[0,0] tor=4
-19 75  c=37506 rk=[0,0] tor=4
-17 75  c=34017 rk=[0,0] tor=4
-14 75  c=114009 rk=[0,0] tor=4
14 75  c=-114009 rk=[0,0] tor=4
17 75  c=-34017 rk=[0,0] tor=4
19 75  c=-37506 rk=[0,0] tor=4
23 75  c=-897 rk=[0,0] tor=4
31 75  c=-54219 rk=[0,0] tor=4
32 75  c=-13803 rk=[0,0] tor=4
44 75  c=-243474 rk=[0,0] tor=4
46 75  c=-2001 rk=[0,0] tor=4
49 75  c=-1209 rk=[0,0] tor=4
53 75  c=-3498 rk=[0,0] tor=4
58 75  c=-196707 rk=[0,0] tor=4
59 75  c=-11859 rk=[0,0] tor=4
62 75  c=-165633 rk=[0,0] tor=4
-65 76  c=3830970 rk=[0,0] tor=4
-61 76  c=4763490 rk=[0,0] tor=4
-53 76  c=5975538 rk=[0,0] tor=4
-49 76  c=570 rk=[0,0] tor=4
-45 76  c=5890 rk=[0,0] tor=4
-41 76  c=708890 rk=[0,0] tor=4
-33 76  c=5877498 rk=[0,0] tor=4
-25 76  c=195738 rk=[0,0] tor=4
-21 76  c=4257330 rk=[0,0] tor=4
-17 76  c=3544602 rk=[0,0] tor=4
-13 76  c=307762 rk=[0,0] tor=4
-9 76  c=216410 rk=[0,0] tor=4
-5 76  c=13490 rk=[0,0] tor=4
-1 76  c=8778 rk=[0,0] tor=4
1 76  c=-8778 rk=[0,0] tor=4
5 76  c=-13490 rk=[0,0] tor=4
9 76  c=-216410 rk=[0,0] tor=4
13 76  c=-307762 rk=[0,0] tor=4
17 76  c=-3544602 rk=[0,0] tor=4
21 76  c=-4257330 rk=[0,0] tor=4
25 76  c=-195738 rk=[0,0] tor=4
33 76  c=-5877498 rk=[0,0] tor=4
41 76  c=-708890 rk=[0,0] tor=4
45 76  c=-5890 rk=[0,0] tor=4
49 76  c=-570 rk=[0,0] tor=4
53 76  c=-5975538 rk=[0,0] tor=4
61 76  c=-4763490 rk=[0,0] tor=4
65 76  c=-3830970 rk=[0,0] tor=4
-75 77  c=8778 rk=[0,0] tor=4
-69 77  c=775698 rk=[0,0] tor=4
-68 77  c=379610 rk=[0,0] tor=4
-65 77  c=1066065 rk=[0,0] tor=4
-64 77  c=282282 rk=[0,0] tor=4
-54 77  c=696003 rk=[0,0] tor=4
-52 77  c=258258 rk=[0,0] tor=4
-50 77  c=29337 rk=[0,0] tor=4
-45 77  c=46970 rk=[0,0] tor=4
-43 77  c=1688610 rk=[0,0] tor=4
-40 77  c=185185 rk=[0,0] tor=4
-37 77  c=1623930 rk=[0,0] tor=4
-34 77  c=6247857 rk=[0,0] tor=4
-23 77  c=5313 rk=[0,0] tor=4
-20 77  c=4257330 rk=[0,0] tor=4
-19 77  c=254562 rk=[0,0] tor=4
-18 77  c=431585 rk=[0,0] tor=4
-16 77  c=873642 rk=[0,0] tor=4
-6 77  c=1361283 rk=[0,0] tor=4
-5 77  c=31570 rk=[0,0] tor=4
-4 77  c=11242 rk=[0,0] tor=4
-2 77  c=18249 rk=[0,0] tor=4
-1 77  c=57057 rk=[0,0] tor=4
1 77  c=-57057 rk=[0,0] tor=4
2 77  c=-18249 rk=[0,0] tor=4
4 77  c=-11242 rk=[0,0] tor=4
5 77  c=-31570 rk=[0,0] tor=4
6 77  c=-1361283 rk=[0,0] tor=4
16 77  c=-873642 rk=[0,0] tor=4
18 77  c=-431585 rk=[0,0] tor=4
19 77  c=-254562 rk=[0,0] tor=4
20 77  c=-4257330 rk=[0,0] tor=4
23 77  c=-5313 rk=[0,0] tor=4
34 77  c=-6247857 rk=[0,0] tor=4
37 77  c=-1623930 rk=[0,0] tor=4
40 77  c=-185185 rk=[0,0] tor=4
43 77  c=-1688610 rk=[0,0] tor=4
45 77  c=-46970 rk=[0,0] tor=4
50 77  c=-29337 rk=[0,0] tor=4
52 77  c=-258258 rk=[0,0] tor=4
54 77  c=-696003 rk=[0,0] tor=4
64 77  c=-282282 rk=[0,0] tor=4
65 77  c=-1066065 rk=[0,0] tor=4
68 77  c=-379610 rk=[0,0] tor=4
69 77  c=-775698 rk=[0,0] tor=4
75 77  c=-8778 rk=[0,0] tor=4
-77 78  c=465465 rk=[0,0] tor=4
-71 78  c=2888067 rk=[0,0] tor=4
-61 78  c=5621577 rk=[0,0] tor=4
-47 78  c=284115 rk=[0,0] tor=4
-37 78  c=6803745 rk=[0,0] tor=4
-31 78  c=6193707 rk=[0,0] tor=4
-29 78  c=121017 rk=[0,0] tor=4
-23 78  c=4982835 rk=[0,0] tor=4
23 78  c=-4982835 rk=[0,0] tor=4
29 78  c=-121017 rk=[0,0] tor=4
31 78  c=-6193707 rk=[0,0] tor=4
37 78  c=-6803745 rk=[0,0] tor=4
47 78  c=-284115 rk=[0,0] tor=4
61 78  c=-5621577 rk=[0,0] tor=4
71 78  c=-2888067 rk=[0,0] tor=4
77 78  c=-465465 rk=[0,0] tor=4
-76 79  c=1395930 rk=[0,0] tor=4
-75 79  c=18249 rk=[0,0] tor=4
-70 79  c=411985 rk=[0,0] tor=4
-69 79  c=1008435 rk=[0,0] tor=4
-65 79  c=35945 rk=[0,0] tor=4
-61 79  c=168665 rk=[0,0] tor=4
-60 79  c=6259170 rk=[0,0] tor=4
-57 79  c=1684122 rk=[0,0] tor=4
-55 79  c=1746690 rk=[0,0] tor=4
-54 79  c=31521 rk=[0,0] tor=4
-51 79  c=1833195 rk=[0,0] tor=4
-50 79  c=295539 rk=[0,0] tor=4
-49 79  c=2370 rk=[0,0] tor=4
-43 79  c=207217 rk=[0,0] tor=4
-40 79  c=1833195 rk=[0,0] tor=4
-38 79  c=800033 rk=[0,0] tor=4
-37 79  c=1780107 rk=[0,0] tor=4
-34 79  c=758795 rk=[0,0] tor=4
-29 79  c=6873 rk=[0,0] tor=4
-28 79  c=6035442 rk=[0,0] tor=4
-25 79  c=6162 rk=[0,0] tor=4
-23 79  c=1297338 rk=[0,0] tor=4
-22 79  c=5002833 rk=[0,0] tor=4
-19 79  c=22515 rk=[0,0] tor=4
-12 79  c=2889978 rk=[0,0] tor=4
-11 79  c=73865 rk=[0,0] tor=4
-6 79  c=1470585 rk=[0,0] tor=4
-5 79  c=306915 rk=[0,0] tor=4
5 79  c=-306915 rk=[0,0] tor=4
6 79  c=-1470585 rk=[0,0] tor=4
11 79  c=-73865 rk=[0,0] tor=4
12 79  c=-2889978 rk=[0,0] tor=4
19 79  c=-22515 rk=[0,0] tor=4
22 79  c=-5002833 rk=[0,0] tor=4
23 79  c=-1297338 rk=[0,0] tor=4
25 79  c=-6162 rk=[0,0] tor=4
28 79  c=-6035442 rk=[0,0] tor=4
29 79  c=-6873 rk=[0,0] tor=4
34 79  c=-758795 rk=[0,0] tor=4
37 79  c=-1780107 rk=[0,0] tor=4
38 79  c=-800033 rk=[0,0] tor=4
40 79  c=-1833195 rk=[0,0] tor=4
43 79  c=-207217 rk=[0,0] tor=4
49 79  c=-2370 rk=[0,0] tor=4
50 79  c=-295539 rk=[0,0] tor=4
51 79  c=-1833195 rk=[0,0] tor=4
54 79  c=-31521 rk=[0,0] tor=4
55 79  c=-1746690 rk=[0,0] tor=4
57 79  c=-1684122 rk=[0,0] tor=4
60 79  c=-6259170 rk=[0,0] tor=4
61 79  c=-168665 rk=[0,0] tor=4
65 79  c=-35945 rk=[0,0] tor=4
69 79  c=-1008435 rk=[0,0] tor=4
70 79  c=-411985 rk=[0,0] tor=4
75 79  c=-18249 rk=[0,0] tor=4
76 79  c=-1395930 rk=[0,0] tor=4
-79 80  c=125610 rk=[0,0] tor=4
-71 80  c=107210 rk=[0,0] tor=4
-63 80  c=170170 rk=[0,0] tor=4
-59 80  c=1722210 rk=[0,0] tor=4
-47 80  c=1969770 rk=[0,0] tor=4
-43 80  c=1956930 rk=[0,0] tor=4
-39 80  c=1902810 rk=[0,0] tor=4
-31 80  c=34410 rk=[0,0] tor=4
-27 80  c=170130 rk=[0,0] tor=4
-23 80  c=1350330 rk=[0,0] tor=4
-11 80  c=690690 rk=[0,0] tor=4
-7 80  c=444570 rk=[0,0] tor=4
7 80  c=-444570 rk=[0,0] tor=4
11 80  c=-690690 rk=[0,0] tor=4
23 80  c=-1350330 rk=[0,0] tor=4
27 80  c=-170130 rk=[0,0] tor=4
31 80  c=-34410 rk=[0,0] tor=4
39 80  c=-1902810 rk=[0,0] tor=4
43 80  c=-1956930 rk=[0,0] tor=4
47 80  c=-1969770 rk=[0,0] tor=4
59 80  c=-1722210 rk=[0,0] tor=4
63 80  c=-170170 rk=[0,0] tor=4
71 80  c=-107210 rk=[0,0] tor=4
79 80  c=-125610 rk=[0,0] tor=4
-74 81  c=40145 rk=[0,0] tor=4
-73 81  c=11242 rk=[0,0] tor=4
-71 81  c=13490 rk=[0,0] tor=4
-67 81  c=17353 rk=[0,0] tor=4
-65 81  c=4745 rk=[0,0] tor=4
-64 81  c=4930 rk=[0,0] tor=4
-62 81  c=84227 rk=[0,0] tor=4
-52 81  c=100282 rk=[0,0] tor=4
-49 81  c=130 rk=[0,0] tor=4
-46 81  c=102235 rk=[0,0] tor=4
-41 81  c=25010 rk=[0,0] tor=4
-35 81  c=23345 rk=[0,0] tor=4
-31 81  c=217 rk=[0,0] tor=4
-26 81  c=76505 rk=[0,0] tor=4
-20 81  c=61610 rk=[0,0] tor=4
-17 81  c=17 rk=[0,0] tor=4
-16 81  c=12610 rk=[0,0] tor=4
-14 81  c=44555 rk=[0,0] tor=4
-13 81  c=10387 rk=[0,0] tor=4
-10 81  c=32305 rk=[0,0] tor=4
-8 81  c=6497 rk=[0,0] tor=4
-7 81  c=5698 rk=[0,0] tor=4
-4 81  c=13090 rk=[0,0] tor=4
4 81  c=-13090 rk=[0,0] tor=4
7 81  c=-5698 rk=[0,0] tor=4
8 81  c=-6497 rk=[0,0] tor=4
10 81  c=-32305 rk=[0,0] tor=4
13 81  c=-10387 rk=[0,0] tor=4
14 81  c=-44555 rk=[0,0] tor=4
16 81  c=-12610 rk=[0,0] tor=4
17 81  c=-17 rk=[0,0] tor=4
20 81  c=-61610 rk=[0,0] tor=4
26 81  c=-76505 rk=[0,0] tor=4
31 81  c=-217 rk=[0,0] tor=4
35 81  c=-23345 rk=[0,0] tor=4
41 81  c=-25010 rk=[0,0] tor=4
46 81  c=-102235 rk=[0,0] tor=4
49 81  c=-130 rk=[0,0] tor=4
52 81  c=-100282 rk=[0,0] tor=4
62 81  c=-84227 rk=[0,0] tor=4
64 81  c=-4930 rk=[0,0] tor=4
65 81  c=-4745 rk=[0,0] tor=4
67 81  c=-17353 rk=[0,0] tor=4
71 81  c=-13490 rk=[0,0] tor=4
73 81  c=-11242 rk=[0,0] tor=4
74 81  c=-40145 rk=[0,0] tor=4
-75 82  c=135177 rk=[0,0] tor=4
-67 82  c=6139545 rk=[0,0] tor=4
-59 82  c=7844817 rk=[0,0] tor=4
-51 82  c=8621193 rk=[0,0] tor=4
-33 82  c=155595 rk=[0,0] tor=4
-27 82  c=737385 rk=[0,0] tor=4
-19 82  c=550753 rk=[0,0] tor=4
-17 82  c=498355 rk=[0,0] tor=4
-11 82  c=2977953 rk=[0,0] tor=4
11 82  c=-2977953 rk=[0,0] tor=4
17 82  c=-498355 rk=[0,0] tor=4
19 82  c=-550753 rk=[0,0] tor=4
27 82  c=-737385 rk=[0,0] tor=4
33 82  c=-155595 rk=[0,0] tor=4
51 82  c=-8621193 rk=[0,0] tor=4
59 82  c=-7844817 rk=[0,0] tor=4
67 82  c=-6139545 rk=[0,0] tor=4
75 82  c=-135177 rk=[0,0] tor=4
-78 83  c=2605785 rk=[0,0] tor=4
-74 83  c=482147 rk=[0,0] tor=4
-72 83  c=141515 rk=[0,0] tor=4
-71 83  c=1361283 rk=[0,0] tor=4
-62 83  c=7834785 rk=[0,0] tor=4
-60 83  c=8189610 rk=[0,0] tor=4
-59 83  c=2086122 rk=[0,0] tor=4
-58 83  c=339387 rk=[0,0] tor=4
-44 83  c=9044178 rk=[0,0] tor=4
-42 83  c=357315 rk=[0,0] tor=4
-41 83  c=2215353 rk=[0,0] tor=4
-39 83  c=2172027 rk=[0,0] tor=4
-32 83  c=486795 rk=[0,0] tor=4
-31 83  c=1906593 rk=[0,0] tor=4
-30 83  c=7456305 rk=[0,0] tor=4
-29 83  c=50547 rk=[0,0] tor=4
-26 83  c=6703827 rk=[0,0] tor=4
-24 83  c=1571937 rk=[0,0] tor=4
-10 83  c=2817435 rk=[0,0] tor=4
-9 83  c=70633 rk=[0,0] tor=4
-8 83  c=22659 rk=[0,0] tor=4
-7 83  c=55195 rk=[0,0] tor=4
7 83  c=-55195 rk=[0,0] tor=4
8 83  c=-22659 rk=[0,0] tor=4
9 83  c=-70633 rk=[0,0] tor=4
10 83  c=-2817435 rk=[0,0] tor=4
24 83  c=-1571937 rk=[0,0] tor=4
26 83  c=-6703827 rk=[0,0] tor=4
29 83  c=-50547 rk=[0,0] tor=4
30 83  c=-7456305 rk=[0,0] tor=4
31 83  c=-1906593 rk=[0,0] tor=4
32 83  c=-486795 rk=[0,0] tor=4
39 83  c=-2172027 rk=[0,0] tor=4
41 83  c=-2215353 rk=[0,0] tor=4
42 83  c=-357315 rk=[0,0] tor=4
44 83  c=-9044178 rk=[0,0] tor=4
58 83  c=-339387 rk=[0,0] tor=4
59 83  c=-2086122 rk=[0,0] tor=4
60 83  c=-8189610 rk=[0,0] tor=4
62 83  c=-7834785 rk=[0,0] tor=4
71 83  c=-1361283 rk=[0,0] tor=4
72 83  c=-141515 rk=[0,0] tor=4
74 83  c=-482147 rk=[0,0] tor=4
78 83  c=-2605785 rk=[0,0] tor=4
-83 84  c=582162 rk=[0,0] tor=4
-79 84  c=2704170 rk=[0,0] tor=4
-71 84  c=6008730 rk=[0,0] tor=4
-67 84  c=7223538 rk=[0,0] tor=4
-55 84  c=9311610 rk=[0,0] tor=4
-43 84  c=9403842 rk=[0,0] tor=4
-31 84  c=7935690 rk=[0,0] tor=4
-23 84  c=6305082 rk=[0,0] tor=4
-11 84  c=3203970 rk=[0,0] tor=4
11 84  c=-3203970 rk=[0,0] tor=4
23 84  c=-6305082 rk=[0,0] tor=4
31 84  c=-7935690 rk=[0,0] tor=4
43 84  c=-9403842 rk=[0,0] tor=4
55 84  c=-9311610 rk=[0,0] tor=4
67 84  c=-7223538 rk=[0,0] tor=4
71 84  c=-6008730 rk=[0,0] tor=4
79 84  c=-2704170 rk=[0,0] tor=4
83 84  c=-582162 rk=[0,0] tor=4
-82 85  c=1745985 rk=[0,0] tor=4
-77 85  c=13090 rk=[0,0] tor=4
-73 85  c=1470585 rk=[0,0] tor=4
-67 85  c=216410 rk=[0,0] tor=4
-64 85  c=531930 rk=[0,0] tor=4
-59 85  c=65195 rk=[0,0] tor=4
-54 85  c=1098795 rk=[0,0] tor=4
-53 85  c=621690 rk=[0,0] tor=4
-52 85  c=9991410 rk=[0,0] tor=4
-47 85  c=2504865 rk=[0,0] tor=4
-41 85  c=268345 rk=[0,0] tor=4
-39 85  c=2363595 rk=[0,0] tor=4
-36 85  c=170 rk=[0,0] tor=4
-33 85  c=2151435 rk=[0,0] tor=4
-22 85  c=700315 rk=[0,0] tor=4
-18 85  c=586585 rk=[0,0] tor=4
-16 85  c=1184730 rk=[0,0] tor=4
-13 85  c=2210 rk=[0,0] tor=4
-9 85  c=75905 rk=[0,0] tor=4
-6 85  c=1833195 rk=[0,0] tor=4
-4 85  c=15130 rk=[0,0] tor=4
-3 85  c=230010 rk=[0,0] tor=4
-2 85  c=613785 rk=[0,0] tor=4
2 85  c=-613785 rk=[0,0] tor=4
3 85  c=-230010 rk=[0,0] tor=4
4 85  c=-15130 rk=[0,0] tor=4
6 85  c=-1833195 rk=[0,0] tor=4
9 85  c=-75905 rk=[0,0] tor=4
13 85  c=-2210 rk=[0,0] tor=4
16 85  c=-1184730 rk=[0,0] tor=4
18 85  c=-586585 rk=[0,0] tor=4
22 85  c=-700315 rk=[0,0] tor=4
33 85  c=-2151435 rk=[0,0] tor=4
36 85  c=-170 rk=[0,0] tor=4
39 85  c=-2363595 rk=[0,0] tor=4
41 85  c=-268345 rk=[0,0] tor=4
47 85  c=-2504865 rk=[0,0] tor=4
52 85  c=-9991410 rk=[0,0] tor=4
53 85  c=-621690 rk=[0,0] tor=4
54 85  c=-1098795 rk=[0,0] tor=4
59 85  c=-65195 rk=[0,0] tor=4
64 85  c=-531930 rk=[0,0] tor=4
67 85  c=-216410 rk=[0,0] tor=4
73 85  c=-1470585 rk=[0,0] tor=4
77 85  c=-13090 rk=[0,0] tor=4
82 85  c=-1745985 rk=[0,0] tor=4
-83 86  c=10707 rk=[0,0] tor=4
-81 86  c=35905 rk=[0,0] tor=4
-75 86  c=228459 rk=[0,0] tor=4
-65 86  c=8862945 rk=[0,0] tor=4
-59 86  c=1103595 rk=[0,0] tor=4
-51 86  c=10515435 rk=[0,0] tor=4
-49 86  c=23865 rk=[0,0] tor=4
-33 86  c=8949633 rk=[0,0] tor=4
-25 86  c=291153 rk=[0,0] tor=4
-17 86  c=5195217 rk=[0,0] tor=4
-9 86  c=314545 rk=[0,0] tor=4
-1 86  c=317985 rk=[0,0] tor=4
1 86  c=-317985 rk=[0,0] tor=4
9 86  c=-314545 rk=[0,0] tor=4
17 86  c=-5195217 rk=[0,0] tor=4
25 86  c=-291153 rk=[0,0] tor=4
33 86  c=-8949633 rk=[0,0] tor=4
49 86  c=-23865 rk=[0,0] tor=4
51 86  c=-10515435 rk=[0,0] tor=4
59 86  c=-1103595 rk=[0,0] tor=4
65 86  c=-8862945 rk=[0,0] tor=4
75 86  c=-228459 rk=[0,0] tor=4
81 86  c=-35905 rk=[0,0] tor=4
83 86  c=-10707 rk=[0,0] tor=4
-86 87  c=647193 rk=[0,0] tor=4
-85 87  c=317985 rk=[0,0] tor=4
-83 87  c=613785 rk=[0,0] tor=4
-82 87  c=17835 rk=[0,0] tor=4
-76 87  c=5927658 rk=[0,0] tor=4
-73 87  c=444570 rk=[0,0] tor=4
-70 87  c=8127105 rk=[0,0] tor=4
-61 87  c=2552667 rk=[0,0] tor=4
-59 87  c=2622963 rk=[0,0] tor=4
-56 87  c=2699697 rk=[0,0] tor=4
-50 87  c=441003 rk=[0,0] tor=4
-49 87  c=56202 rk=[0,0] tor=4
-44 87  c=10781562 rk=[0,0] tor=4
-40 87  c=2596515 rk=[0,0] tor=4
-38 87  c=8265 rk=[0,0] tor=4
-34 87  c=78387 rk=[0,0] tor=4
-31 87  c=2227722 rk=[0,0] tor=4
-28 87  c=8264130 rk=[0,0] tor=4
-19 87  c=1489353 rk=[0,0] tor=4
-7 87  c=143115 rk=[0,0] tor=4
-2 87  c=658155 rk=[0,0] tor=4
2 87  c=-658155 rk=[0,0] tor=4
7 87  c=-143115 rk=[0,0] tor=4
19 87  c=-1489353 rk=[0,0] tor=4
28 87  c=-8264130 rk=[0,0] tor=4
31 87  c=-2227722 rk=[0,0] tor=4
34 87  c=-78387 rk=[0,0] tor=4
38 87  c=-8265 rk=[0,0] tor=4
40 87  c=-2596515 rk=[0,0] tor=4
44 87  c=-10781562 rk=[0,0] tor=4
49 87  c=-56202 rk=[0,0] tor=4
50 87  c=-441003 rk=[0,0] tor=4
56 87  c=-2699697 rk=[0,0] tor=4
59 87  c=-2622963 rk=[0,0] tor=4
61 87  c=-2552667 rk=[0,0] tor=4
70 87  c=-8127105 rk=[0,0] tor=4
73 87  c=-444570 rk=[0,0] tor=4
76 87  c=-5927658 rk=[0,0] tor=4
82 87  c=-17835 rk=[0,0] tor=4
83 87  c=-613785 rk=[0,0] tor=4
85 87  c=-317985 rk=[0,0] tor=4
86 87  c=-647193 rk=[0,0] tor=4
-87 88  c=6699 rk=[0,0] tor=4
-71 88  c=2111043 rk=[0,0] tor=4
-69 88  c=2264097 rk=[0,0] tor=4
-63 88  c=11627 rk=[0,0] tor=4
-61 88  c=299937 rk=[0,0] tor=4
-53 88  c=2877105 rk=[0,0] tor=4
-47 88  c=317955 rk=[0,0] tor=4
-45 88  c=314545 rk=[0,0] tor=4
-39 88  c=54483 rk=[0,0] tor=4
-31 88  c=2313003 rk=[0,0] tor=4
-29 88  c=244673 rk=[0,0] tor=4
-23 88  c=1825395 rk=[0,0] tor=4
-21 88  c=1686993 rk=[0,0] tor=4
-15 88  c=1240635 rk=[0,0] tor=4
-13 88  c=43329 rk=[0,0] tor=4
-7 88  c=7315 rk=[0,0] tor=4
-5 88  c=424545 rk=[0,0] tor=4
5 88  c=-424545 rk=[0,0] tor=4
7 88  c=-7315 rk=[0,0] tor=4
13 88  c=-43329 rk=[0,0] tor=4
15 88  c=-1240635 rk=[0,0] tor=4
21 88  c=-1686993 rk=[0,0] tor=4
23 88  c=-1825395 rk=[0,0] tor=4
29 88  c=-244673 rk=[0,0] tor=4
31 88  c=-2313003 rk=[0,0] tor=4
39 88  c=-54483 rk=[0,0] tor=4
45 88  c=-314545 rk=[0,0] tor=4
47 88  c=-317955 rk=[0,0] tor=4
53 88  c=-2877105 rk=[0,0] tor=4
61 88  c=-299937 rk=[0,0] tor=4
63 88  c=-11627 rk=[0,0] tor=4
69 88  c=-2264097 rk=[0,0] tor=4
71 88  c=-2111043 rk=[0,0] tor=4
87 88  c=-6699 rk=[0,0] tor=4
-88 89  c=173283 rk=[0,0] tor=4
-85 89  c=658155 rk=[0,0] tor=4
-84 89  c=3233370 rk=[0,0] tor=4
-81 89  c=15130 rk=[0,0] tor=4
-78 89  c=6376227 rk=[0,0] tor=4
-73 89  c=6497 rk=[0,0] tor=4
-68 89  c=9976722 rk=[0,0] tor=4
-63 89  c=307762 rk=[0,0] tor=4
-61 89  c=114009 rk=[0,0] tor=4
-59 89  c=2914305 rk=[0,0] tor=4
-58 89  c=240033 rk=[0,0] tor=4
-57 89  c=740658 rk=[0,0] tor=4
-53 89  c=334907 rk=[0,0] tor=4
-52 89  c=12072138 rk=[0,0] tor=4
-51 89  c=3018435 rk=[0,0] tor=4
-49 89  c=61410 rk=[0,0] tor=4
-46 89  c=1320315 rk=[0,0] tor=4
-42 89  c=11507433 rk=[0,0] tor=4
-36 89  c=47170 rk=[0,0] tor=4
-31 89  c=2400330 rk=[0,0] tor=4
-29 89  c=2284185 rk=[0,0] tor=4
-27 89  c=240033 rk=[0,0] tor=4
-26 89  c=931385 rk=[0,0] tor=4
-24 89  c=1961115 rk=[0,0] tor=4
-23 89  c=472857 rk=[0,0] tor=4
-21 89  c=1747515 rk=[0,0] tor=4
-20 89  c=6693690 rk=[0,0] tor=4
-19 89  c=177555 rk=[0,0] tor=4
-17 89  c=160378 rk=[0,0] tor=4
-16 89  c=1364370 rk=[0,0] tor=4
-8 89  c=8633 rk=[0,0] tor=4
-4 89  c=1407090 rk=[0,0] tor=4
4 89  c=-1407090 rk=[0,0] tor=4
8 89  c=-8633 rk=[0,0] tor=4
16 89  c=-1364370 rk=[0,0] tor=4
17 89  c=-160378 rk=[0,0] tor=4
19 89  c=-177555 rk=[0,0] tor=4
20 89  c=-6693690 rk=[0,0] tor=4
21 89  c=-1747515 rk=[0,0] tor=4
23 89  c=-472857 rk=[0,0] tor=4
24 89  c=-1961115 rk=[0,0] tor=4
26 89  c=-931385 rk=[0,0] tor=4
27 89  c=-240033 rk=[0,0] tor=4
29 89  c=-2284185 rk=[0,0] tor=4
31 89  c=-2400330 rk=[0,0] tor=4
36 89  c=-47170 rk=[0,0] tor=4
42 89  c=-11507433 rk=[0,0] tor=4
46 89  c=-1320315 rk=[0,0] tor=4
49 89  c=-61410 rk=[0,0] tor=4
51 89  c=-3018435 rk=[0,0] tor=4
52 89  c=-12072138 rk=[0,0] tor=4
53 89  c=-334907 rk=[0,0] tor=4
57 89  c=-740658 rk=[0,0] tor=4
58 89  c=-240033 rk=[0,0] tor=4
59 89  c=-2914305 rk=[0,0] tor=4
61 89  c=-114009 rk=[0,0] tor=4
63 89  c=-307762 rk=[0,0] tor=4
68 89  c=-9976722 rk=[0,0] tor=4
73 89  c=-6497 rk=[0,0] tor=4
78 89  c=-6376227 rk=[0,0] tor=4
81 89  c=-15130 rk=[0,0] tor=4
84 89  c=-3233370 rk=[0,0] tor=4
85 89  c=-658155 rk=[0,0] tor=4
88 89  c=-173283 rk=[0,0] tor=4
